date,SPX Index
2/1/30,21.18
3/1/30,21.23
6/1/30,21.5
7/1/30,21.31
8/1/30,21.29
9/1/30,21.62
10/1/30,21.55
13/01/1930,21.52
14/01/1930,21.56
15/01/1930,21.65
16/01/1930,21.5
17/01/1930,21.31
20/01/1930,21.5
21/01/1930,21.61
22/01/1930,21.63
23/01/1930,21.84
24/01/1930,22.04
27/01/1930,22.21
28/01/1930,22.1
29/01/1930,22.35
30/01/1930,22.47
31/01/1930,22.79
3/2/30,22.74
4/2/30,23.01
5/2/30,23.31
6/2/30,23.06
7/2/30,22.97
10/2/30,23.12
11/2/30,23.32
13/02/1930,23.36
14/02/1930,23.35
17/02/1930,23.26
18/02/1930,23.28
19/02/1930,23.07
20/02/1930,22.64
21/02/1930,22.92
24/02/1930,22.68
25/02/1930,22.69
26/02/1930,23.11
27/02/1930,23.08
28/02/1930,23.28
3/3/30,23.36
4/3/30,23.54
5/3/30,23.36
6/3/30,23.59
7/3/30,23.59
10/3/30,23.67
11/3/30,23.72
12/3/30,23.46
13/03/1930,23.6
14/03/1930,23.45
17/03/1930,23.67
18/03/1930,23.9
19/03/1930,24.03
20/03/1930,24.14
21/03/1930,24.29
24/03/1930,24.28
25/03/1930,24.25
26/03/1930,24.62
27/03/1930,24.57
28/03/1930,24.85
31/03/1930,25.14
1/4/30,25.37
2/4/30,25.11
3/4/30,25.16
4/4/30,25.54
7/4/30,25.6
8/4/30,25.46
9/4/30,25.87
10/4/30,25.92
11/4/30,25.84
14/04/1930,25.73
15/04/1930,25.74
16/04/1930,25.56
17/04/1930,25.75
21/04/1930,25.29
22/04/1930,25.5
23/04/1930,25.55
24/04/1930,25.35
25/04/1930,25.32
28/04/1930,24.76
29/04/1930,24.73
30/04/1930,24.9
1/5/30,24.3
2/5/30,23.57
5/5/30,22.98
6/5/30,23.76
7/5/30,23.31
8/5/30,23.4
9/5/30,23.69
12/5/30,24.09
13/05/1930,24.42
14/05/1930,24.57
15/05/1930,24.17
16/05/1930,24.28
19/05/1930,23.75
20/05/1930,23.86
21/05/1930,23.74
22/05/1930,23.79
23/05/1930,24.03
26/05/1930,24.23
27/05/1930,24.24
28/05/1930,24.38
29/05/1930,24.49
2/6/30,24.4
3/6/30,24.18
4/6/30,24.29
5/6/30,23.91
6/6/30,23.52
9/6/30,22.38
10/6/30,23.01
11/6/30,22.2
12/6/30,22.13
13/06/1930,22.26
16/06/1930,20.56
17/06/1930,20.58
18/06/1930,19.86
19/06/1930,20.79
20/06/1930,20.25
23/06/1930,20.09
24/06/1930,19.39
25/06/1930,19.54
26/06/1930,20
27/06/1930,19.81
30/06/1930,20.46
1/7/30,20.24
2/7/30,20.46
3/7/30,20.25
7/7/30,19.83
8/7/30,19.97
9/7/30,20.26
10/7/30,20.77
11/7/30,20.55
14/07/1930,21.36
15/07/1930,21.32
16/07/1930,21.48
17/07/1930,21.58
18/07/1930,21.77
21/07/1930,20.94
22/07/1930,21.32
23/07/1930,21.66
24/07/1930,21.38
25/07/1930,21.5
28/07/1930,21.82
29/07/1930,21.65
30/07/1930,21.08
31/07/1930,21.21
1/8/30,21.11
4/8/30,21.52
5/8/30,21.52
6/8/30,21.18
7/8/30,21.06
8/8/30,20.27
11/8/30,20.4
12/8/30,19.88
13/08/1930,20.15
14/08/1930,20.16
15/08/1930,20.7
18/08/1930,20.54
19/08/1930,20.74
20/08/1930,20.85
21/08/1930,20.64
22/08/1930,20.79
25/08/1930,20.68
26/08/1930,20.98
27/08/1930,21.14
28/08/1930,21.13
29/08/1930,21.37
2/9/30,21.38
3/9/30,21.17
4/9/30,21.02
5/9/30,21.34
8/9/30,21.63
9/9/30,21.76
10/9/30,21.86
11/9/30,21.72
12/9/30,21.5
15/09/1930,21.19
16/09/1930,21.22
17/09/1930,21.29
18/09/1930,21.06
19/09/1930,20.68
22/09/1930,20.17
23/09/1930,20.44
24/09/1930,20.11
25/09/1930,19.73
26/09/1930,19.43
29/09/1930,18.86
30/09/1930,18.59
1/10/30,19.42
2/10/30,19.18
3/10/30,19.42
6/10/30,18.61
7/10/30,18.62
8/10/30,18.4
9/10/30,17.67
10/10/30,18.11
14/10/1930,17.91
15/10/1930,18.2
16/10/1930,17.88
17/10/1930,17.16
20/10/1930,17.57
21/10/1930,17.05
22/10/1930,16.9
23/10/1930,17.14
24/10/1930,17.74
27/10/1930,17.78
28/10/1930,17.86
29/10/1930,17.55
30/10/1930,17.34
31/10/1930,16.94
3/11/30,17.13
5/11/30,16.62
6/11/30,16.65
7/11/30,16.09
10/11/30,15.54
11/11/30,15.79
12/11/30,16.14
13/11/1930,16.56
14/11/1930,16.89
17/11/1930,16.48
18/11/1930,16.66
19/11/1930,17.01
20/11/1930,16.94
21/11/1930,17.2
24/11/1930,17.05
25/11/1930,16.85
26/11/1930,16.61
28/11/1930,16.38
1/12/30,16.8
2/12/30,16.96
3/12/30,16.67
4/12/30,16.42
5/12/30,16.43
8/12/30,15.97
9/12/30,15.98
10/12/30,15.73
11/12/30,15.55
12/12/30,15.43
15/12/1930,14.94
16/12/1930,14.44
17/12/1930,15.11
18/12/1930,15.22
19/12/1930,15.39
22/12/1930,14.88
23/12/1930,14.96
24/12/1930,15.16
26/12/1930,14.85
29/12/1930,14.72
30/12/1930,15.06
31/12/1930,15.34
2/1/31,15.85
5/1/31,15.93
6/1/31,16.13
7/1/31,16.09
8/1/31,16.23
9/1/31,16.07
12/1/31,15.84
13/01/1931,15.65
14/01/1931,15.83
15/01/1931,15.46
16/01/1931,15.65
19/01/1931,15.46
20/01/1931,15.78
21/01/1931,15.78
22/01/1931,16.07
23/01/1931,16.42
26/01/1931,16.4
27/01/1931,16.32
28/01/1931,16.02
29/01/1931,16.17
30/01/1931,16.19
2/2/31,16.16
3/2/31,16.24
4/2/31,16.33
5/2/31,16.22
6/2/31,16.27
9/2/31,16.96
10/2/31,17.23
11/2/31,17.28
13/02/1931,17.18
16/02/1931,17.34
17/02/1931,17.05
18/02/1931,17.2
19/02/1931,17.43
20/02/1931,17.71
24/02/1931,18.17
25/02/1931,17.97
26/02/1931,18.17
27/02/1931,18.03
2/3/31,17.52
3/3/31,17.5
4/3/31,17.34
5/3/31,17.69
6/3/31,17.32
9/3/31,17.76
10/3/31,17.72
11/3/31,17.52
12/3/31,17.4
13/03/1931,17.32
16/03/1931,17.77
17/03/1931,17.58
18/03/1931,17.81
19/03/1931,18.01
20/03/1931,18.06
23/03/1931,17.76
24/03/1931,17.88
25/03/1931,17.78
26/03/1931,17.54
27/03/1931,17.21
30/03/1931,16.66
31/03/1931,16.69
1/4/31,16.52
2/4/31,16.45
6/4/31,16.5
7/4/31,16.28
8/4/31,16.5
9/4/31,16.41
10/4/31,16.46
13/04/1931,16.72
14/04/1931,16.51
15/04/1931,16.18
16/04/1931,15.98
17/04/1931,15.73
20/04/1931,15.96
21/04/1931,15.54
22/04/1931,15.22
23/04/1931,15.29
24/04/1931,15.29
27/04/1931,14.76
28/04/1931,14.67
29/04/1931,14.37
30/04/1931,15.09
1/5/31,14.65
4/5/31,15.06
5/5/31,14.94
6/5/31,15.01
7/5/31,14.95
8/5/31,15.44
11/5/31,15.19
12/5/31,15.04
13/05/1931,14.99
14/05/1931,14.66
15/05/1931,14.44
18/05/1931,13.84
19/05/1931,13.83
20/05/1931,13.75
21/05/1931,13.89
22/05/1931,13.94
25/05/1931,13.4
26/05/1931,13.41
27/05/1931,13.26
28/05/1931,13.31
29/05/1931,13.02
1/6/31,12.4
2/6/31,12.2
3/6/31,13.12
4/6/31,13.55
5/6/31,13.4
8/6/31,13.56
9/6/31,13.34
10/6/31,13.7
11/6/31,13.73
12/6/31,13.75
15/06/1931,13.63
16/06/1931,13.66
17/06/1931,13.51
18/06/1931,13.27
19/06/1931,13.22
22/06/1931,14.61
23/06/1931,14.41
24/06/1931,15.09
25/06/1931,14.99
26/06/1931,15.35
29/06/1931,15.09
30/06/1931,14.83
1/7/31,15.07
2/7/31,14.94
3/7/31,15.26
6/7/31,15.1
7/7/31,14.51
8/7/31,14.37
9/7/31,14.49
10/7/31,14.63
13/07/1931,14.23
14/07/1931,14.09
15/07/1931,13.8
16/07/1931,14.14
17/07/1931,14.27
20/07/1931,14.46
21/07/1931,14.62
22/07/1931,14.28
23/07/1931,14.28
24/07/1931,13.97
27/07/1931,14.03
28/07/1931,14.18
29/07/1931,13.74
30/07/1931,13.8
31/07/1931,13.73
3/8/31,13.93
4/8/31,13.84
5/8/31,13.64
6/8/31,13.55
7/8/31,13.61
10/8/31,13.55
11/8/31,13.99
12/8/31,13.8
13/08/1931,14.02
14/08/1931,14.29
17/08/1931,14.05
18/08/1931,14.1
19/08/1931,14.14
20/08/1931,14.17
21/08/1931,13.86
24/08/1931,13.75
25/08/1931,13.7
26/08/1931,13.93
27/08/1931,13.85
28/08/1931,13.99
31/08/1931,13.86
1/9/31,13.92
2/9/31,13.66
3/9/31,13.35
4/9/31,13.29
8/9/31,12.87
9/9/31,12.76
10/9/31,12.62
11/9/31,12.69
14/09/1931,12.1
15/09/1931,11.99
16/09/1931,11.82
17/09/1931,12.04
18/09/1931,11.46
21/09/1931,10.93
22/09/1931,10.8
23/09/1931,11.52
24/09/1931,10.68
25/09/1931,10.92
28/09/1931,10.5
29/09/1931,10.06
30/09/1931,9.71
1/10/31,9.53
2/10/31,9.7
5/10/31,8.82
6/10/31,9.91
7/10/31,9.78
8/10/31,10.62
9/10/31,10.55
13/10/1931,10.1
14/10/1931,9.87
15/10/1931,10.05
16/10/1931,10.36
19/10/1931,10.49
20/10/1931,10.96
21/10/1931,10.86
22/10/1931,10.5
23/10/1931,10.84
26/10/1931,10.64
27/10/1931,10.41
28/10/1931,10.07
29/10/1931,10.11
30/10/1931,10.43
2/11/31,10.5
4/11/31,10.82
5/11/31,10.78
6/11/31,11.11
9/11/31,11.52
10/11/31,11.28
11/11/31,11.11
12/11/31,11.07
13/11/1931,10.72
16/11/1931,10.43
17/11/1931,10.6
18/11/1931,10.21
19/11/1931,10.16
20/11/1931,9.85
23/11/1931,9.7
24/11/1931,9.87
25/11/1931,9.53
27/11/1931,9.31
30/11/1931,9.5
1/12/31,9.38
2/12/31,9.05
3/12/31,9.22
4/12/31,9.02
7/12/31,9.29
8/12/31,9.02
9/12/31,8.78
10/12/31,8.58
11/12/31,8.31
14/12/1931,8.01
15/12/1931,8.12
16/12/1931,7.93
17/12/1931,7.72
18/12/1931,8.36
21/12/1931,8.15
22/12/1931,8.29
23/12/1931,7.95
24/12/1931,7.96
25/12/1931,
28/12/1931,7.76
29/12/1931,7.96
30/12/1931,8.1
31/12/1931,8.12
1/1/32,
4/1/32,7.56
5/1/32,7.55
6/1/32,8.08
7/1/32,8.22
8/1/32,8.57
11/1/32,8.48
12/1/32,8.39
13/01/1932,8.8
14/01/1932,8.9
15/01/1932,8.92
18/01/1932,8.51
19/01/1932,8.48
20/01/1932,8.63
21/01/1932,8.58
22/01/1932,8.21
25/01/1932,8.2
26/01/1932,8.31
27/01/1932,8.15
28/01/1932,8.03
29/01/1932,7.94
1/2/32,8.23
2/2/32,8.05
3/2/32,8.09
4/2/32,8.04
5/2/32,7.78
8/2/32,7.62
9/2/32,7.53
10/2/32,7.5
11/2/32,8.12
12/2/32,
15/02/1932,8.5
16/02/1932,8.84
17/02/1932,8.48
18/02/1932,8.71
19/02/1932,8.72
23/02/1932,8.22
24/02/1932,8.43
25/02/1932,8.35
26/02/1932,8.34
29/02/1932,8.29
1/3/32,8.35
2/3/32,8.71
3/3/32,8.71
4/3/32,8.72
7/3/32,8.82
8/3/32,8.98
9/3/32,8.81
10/3/32,8.73
11/3/32,8.52
14/03/1932,8.31
15/03/1932,8.31
16/03/1932,8.11
17/03/1932,8.28
18/03/1932,8.02
21/03/1932,8.06
22/03/1932,8.05
23/03/1932,7.94
24/03/1932,7.86
25/03/1932,
28/03/1932,7.59
29/03/1932,7.58
30/03/1932,7.74
31/03/1932,7.31
1/4/32,7.18
4/4/32,7.06
5/4/32,6.73
6/4/32,6.53
7/4/32,6.46
8/4/32,6.29
11/4/32,6.07
12/4/32,6.06
13/04/1932,5.98
14/04/1932,6.25
15/04/1932,6.42
18/04/1932,6.12
19/04/1932,6.03
20/04/1932,6.03
21/04/1932,6.24
22/04/1932,5.96
25/04/1932,6.03
26/04/1932,6.12
27/04/1932,6.27
28/04/1932,6.03
29/04/1932,5.83
2/5/32,5.74
3/5/32,5.66
4/5/32,5.74
5/5/32,5.68
6/5/32,6.09
9/5/32,5.96
10/5/32,6.01
11/5/32,6
12/5/32,5.8
13/05/1932,5.6
16/05/1932,5.61
17/05/1932,5.59
18/05/1932,5.45
19/05/1932,5.48
20/05/1932,5.48
23/05/1932,5.43
24/05/1932,5.21
25/05/1932,5.03
26/05/1932,5.11
27/05/1932,4.83
31/05/1932,4.47
1/6/32,4.4
2/6/32,4.64
3/6/32,4.89
6/6/32,5.07
7/6/32,4.85
8/6/32,4.57
9/6/32,4.57
10/6/32,4.92
13/06/1932,4.82
14/06/1932,4.94
15/06/1932,5.12
16/06/1932,5.12
17/06/1932,4.83
20/06/1932,4.89
21/06/1932,4.77
22/06/1932,4.77
23/06/1932,4.8
24/06/1932,4.6
27/06/1932,4.44
28/06/1932,4.44
29/06/1932,4.51
30/06/1932,4.43
1/7/32,4.6
5/7/32,4.5
6/7/32,4.6
7/7/32,4.45
8/7/32,4.41
11/7/32,4.6
12/7/32,4.6
13/07/1932,4.82
14/07/1932,4.79
15/07/1932,4.93
18/07/1932,4.8
19/07/1932,4.78
20/07/1932,4.93
21/07/1932,5.05
22/07/1932,5.2
25/07/1932,5.48
26/07/1932,5.4
27/07/1932,5.67
28/07/1932,5.85
29/07/1932,6.03
1/8/32,6.11
2/8/32,5.87
3/8/32,6.39
4/8/32,6.52
5/8/32,6.8
8/8/32,7.43
9/8/32,7.39
10/8/32,7.65
11/8/32,7.61
12/8/32,7
15/08/1932,7.44
16/08/1932,7.68
17/08/1932,7.51
18/08/1932,7.6
19/08/1932,7.53
22/08/1932,8
23/08/1932,8.15
24/08/1932,8.33
25/08/1932,8.26
26/08/1932,8.39
29/08/1932,8.58
30/08/1932,8.47
31/08/1932,8.39
1/9/32,8.47
2/9/32,8.84
6/9/32,8.91
7/9/32,9.31
8/9/32,8.97
9/9/32,8.75
12/9/32,8.15
13/09/1932,7.8
14/09/1932,7.35
15/09/1932,7.66
16/09/1932,7.57
19/09/1932,7.34
20/09/1932,7.62
21/09/1932,8.52
22/09/1932,8.26
23/09/1932,8.4
26/09/1932,8.04
27/09/1932,8.13
28/09/1932,8.36
29/09/1932,8.1
30/09/1932,8.08
3/10/32,8.06
4/10/32,8.05
5/10/32,7.39
6/10/32,7.43
7/10/32,7.02
10/10/32,6.42
11/10/32,6.88
