Symbol,Security,Headquarters Location,Date first added[3][4]
APC,Anadarko Petroleum Corp,"The Woodlands, Texas",1997-07-28
APA,Apache Corporation,"Houston, Texas",1997-07-28
COG,Cabot Oil & Gas,"Houston, Texas",2008-06-23
CXO,Concho Resources,"Midland, Texas",2016-02-22
COP,ConocoPhillips,"Houston, Texas",
FANG,Diamondback Energy Inc,"Midland, Texas",2018-12-03
EOG,EOG Resources,"Houston, Texas",2000-11-02
MRO,Marathon Oil Corp.,"Houston, Texas",1991-05-01
NFX,Newfield Exploration Co,"Houston, Texas",2010-12-20
NBL,Noble Energy Inc,"Houston, Texas",2007-10-08
