,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,1.0,0.55356,0.49307,0.28539,0.67934,0.05002,0.42134,0.92952,0.30702,0.77323
APA,0.55356,1.0,0.33549,0.05215,-0.01268,-0.227,-0.00865,0.44589,0.76071,0.83367
COG,0.49307,0.33549,1.0,0.28115,0.40305,0.0389,0.26698,0.60384,0.06968,0.36562
CXO,0.28539,0.05215,0.28115,1.0,0.42424,0.90467,0.88447,0.31723,0.06968,-0.03783
COP,0.67934,-0.01268,0.40305,0.42424,1.0,0.39005,0.70644,0.83105,-0.31641,0.24947
FANG,0.05002,-0.227,0.0389,0.90467,0.39005,1.0,0.87453,0.10626,-0.15998,-0.292
EOG,0.42134,-0.00865,0.26698,0.88447,0.70644,0.87453,1.0,0.50722,-0.14457,-0.00199
MRO,0.92952,0.44589,0.60384,0.31723,0.83105,0.10626,0.50722,1.0,0.13799,0.6625
NFX,0.30702,0.76071,0.06968,0.06968,-0.31641,-0.15998,-0.14457,0.13799,1.0,0.62038
NBL,0.77323,0.83367,0.36562,-0.03783,0.24947,-0.292,-0.00199,0.6625,0.62038,1.0
