,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,1.0,0.70337,0.44246,0.69483,0.73922,0.63345,0.75636,0.76204,0.69567,0.74332
APA,0.70337,1.0,0.48121,0.69441,0.70989,0.6254,0.74448,0.72969,0.65277,0.70962
COG,0.44246,0.48121,1.0,0.45071,0.43973,0.4472,0.49218,0.4681,0.45239,0.45168
CXO,0.69483,0.69441,0.45071,1.0,0.70027,0.76856,0.79999,0.68704,0.69897,0.70545
COP,0.73922,0.70989,0.43973,0.70027,1.0,0.65477,0.77712,0.8003,0.68107,0.71172
FANG,0.63345,0.6254,0.4472,0.76856,0.65477,1.0,0.74562,0.62761,0.68227,0.63554
EOG,0.75636,0.74448,0.49218,0.79999,0.77712,0.74562,1.0,0.74374,0.71487,0.74901
MRO,0.76204,0.72969,0.4681,0.68704,0.8003,0.62761,0.74374,1.0,0.68597,0.72016
NFX,0.69567,0.65277,0.45239,0.69897,0.68107,0.68227,0.71487,0.68597,1.0,0.68366
NBL,0.74332,0.70962,0.45168,0.70545,0.71172,0.63554,0.74901,0.72016,0.68366,1.0
