,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,0.0,0.45878,0.49552,0.45685,0.41755,0.47747,0.40559,0.52152,0.52935,0.43032
APA,0.45878,0.0,0.51932,0.48086,0.46501,0.49731,0.44584,0.56419,0.55708,0.47855
COG,0.49552,0.51932,0.0,0.50391,0.46212,0.51105,0.46767,0.62064,0.60237,0.50991
CXO,0.45685,0.48086,0.50391,0.0,0.44589,0.43919,0.39134,0.58,0.53745,0.44904
COP,0.41755,0.46501,0.46212,0.44589,0.0,0.45954,0.36068,0.52654,0.54651,0.42758
FANG,0.47747,0.49731,0.51105,0.43919,0.45954,0.0,0.41249,0.60287,0.53865,0.47472
EOG,0.40559,0.44584,0.46767,0.39134,0.36068,0.41249,0.0,0.58559,0.53915,0.40693
MRO,0.52152,0.56419,0.62064,0.58,0.52654,0.60287,0.58559,0.0,0.6115,0.55313
NFX,0.52935,0.55708,0.60237,0.53745,0.54651,0.53865,0.53915,0.6115,0.0,0.529
NBL,0.43032,0.47855,0.50991,0.44904,0.42758,0.47472,0.40693,0.55313,0.529,0.0
