,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,0.0,1.42193,1.72697,9.8511,2.42041,25.8644,6.52274,1.89891,8.20097,1.16169
APA,1.42193,0.0,2.11457,9.52906,3.85384,26.40694,6.18877,2.91862,8.4183,1.24935
COG,1.72697,2.11457,0.0,7.38668,1.5873,24.63241,4.66653,2.59357,7.3938,2.50064
CXO,9.8511,9.52906,7.38668,0.0,6.07595,8.34663,2.14687,13.97742,3.4966,9.9584
COP,2.42041,3.85384,1.5873,6.07595,0.0,19.3832,2.4069,3.50813,9.0443,4.10156
FANG,25.8644,26.40694,24.63241,8.34663,19.3832,0.0,11.69695,29.01854,10.15987,28.78329
EOG,6.52274,6.18877,4.66653,2.14687,2.4069,11.69695,0.0,9.02404,4.13148,7.32408
MRO,1.89891,2.91862,2.59357,13.97742,3.50813,29.01854,9.02404,0.0,9.27284,2.22226
NFX,8.20097,8.4183,7.3938,3.4966,9.0443,10.15987,4.13148,9.27284,0.0,7.94243
NBL,1.16169,1.24935,2.50064,9.9584,4.10156,28.78329,7.32408,2.22226,7.94243,0.0
