,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,0.0,0.47519,0.51604,0.4627,0.433,0.49627,0.4146,0.52814,0.52815,0.43212
APA,0.47519,0.0,0.52421,0.48194,0.46427,0.5182,0.44903,0.55151,0.55203,0.47549
COG,0.51604,0.52421,0.0,0.49763,0.48009,0.51126,0.45369,0.63694,0.59032,0.51384
CXO,0.4627,0.48194,0.49763,0.0,0.44221,0.42743,0.38683,0.57375,0.5388,0.45319
COP,0.433,0.46427,0.48009,0.44221,0.0,0.45427,0.36627,0.53984,0.54146,0.42556
FANG,0.49627,0.5182,0.51126,0.42743,0.45427,0.0,0.40887,0.60101,0.53166,0.47609
EOG,0.4146,0.44903,0.45369,0.38683,0.36627,0.40887,0.0,0.57576,0.51989,0.4097
MRO,0.52814,0.55151,0.63694,0.57375,0.53984,0.60101,0.57576,0.0,0.58044,0.5514
NFX,0.52815,0.55203,0.59032,0.5388,0.54146,0.53166,0.51989,0.58044,0.0,0.51558
NBL,0.43212,0.47549,0.51384,0.45319,0.42556,0.47609,0.4097,0.5514,0.51558,0.0
