,APC,APA,COG,CXO,COP,FANG,EOG,MRO,NFX,NBL
APC,1.0,0.58023,0.52077,0.1663,0.64164,-0.02836,0.32063,0.92658,0.27483,0.81258
APA,0.58023,1.0,0.3742,-0.01628,-0.01321,-0.28715,-0.07505,0.48564,0.7248,0.83699
COG,0.52077,0.3742,1.0,0.17332,0.36722,-0.04388,0.15192,0.64009,0.06566,0.44832
CXO,0.1663,-0.01628,0.17332,1.0,0.41045,0.9062,0.86394,0.17003,0.0271,-0.09902
COP,0.64164,-0.01321,0.36722,0.41045,1.0,0.43414,0.71488,0.78638,-0.3552,0.26159
FANG,-0.02836,-0.28715,-0.04388,0.9062,0.43414,1.0,0.89389,0.01113,-0.21371,-0.32849
EOG,0.32063,-0.07505,0.15192,0.86394,0.71488,0.89389,1.0,0.38299,-0.20192,-0.04678
MRO,0.92658,0.48564,0.64009,0.17003,0.78638,0.01113,0.38299,1.0,0.08773,0.73748
NFX,0.27483,0.7248,0.06566,0.0271,-0.3552,-0.21371,-0.20192,0.08773,1.0,0.5471
NBL,0.81258,0.83699,0.44832,-0.09902,0.26159,-0.32849,-0.04678,0.73748,0.5471,1.0
